Timestamp,Position X,Position Y,Altitude,Speed,Direction
1539284267,10.760902,78.709442,0,0,271
1539284532,10.760899,78.709442,0,0,180
1539284683,10.760899,78.709442,0,0,180
1539284823,10.760899,78.709442,0,0,180
1539284887,10.760891,78.709427,0,0,232
1539285094,10.760899,78.709442,0,0,180
1539286627,10.760945,78.709526,0,2,60
1539286658,10.761097,78.709763,0,2,62
1539286703,10.761213,78.710106,0,2,104
1539286930,10.761189,78.710152,0,11,314
1539286943,10.761493,78.709969,0,17,328
1539286957,10.7619,78.709732,0,22,329
1539286965,10.762253,78.709526,0,26,329
1539286971,10.76255,78.709343,0,28,329
1539286982,10.763145,78.708992,0,30,329
1539286990,10.763443,78.708817,0,29,331
1539286996,10.763741,78.708649,0,29,331
1539287003,10.764088,78.708595,0,30,5
1539287020,10.765205,78.708885,0,33,14
1539287026,10.765508,78.709114,0,31,53
1539287033,10.765583,78.709473,0,30,84
1539287042,10.765617,78.71003,0,31,84
1539287048,10.76564,78.710411,0,33,87
1539287057,10.765686,78.710991,0,16,84
1539287069,10.765787,78.712189,0,20,84
1539287076,10.765821,78.712715,0,20,87
1539287089,10.765915,78.713898,0,20,84
1539287100,10.766006,78.715073,0,20,84
1539287108,10.766064,78.715813,0,20,84
1539287122,10.766171,78.717163,0,20,87
1539287136,10.766281,78.718613,0,20,84
1539287145,10.766322,78.7192,0,20,84
1539287157,10.766418,78.720329,0,19,84
1539287171,10.766533,78.721802,0,20,84
1539287183,10.766613,78.7229,0,18,84
1539287204,10.766753,78.724594,0,17,84
1539287210,10.766799,78.725098,0,18,84
1539287220,10.766857,78.725983,0,18,84
1539287229,10.766915,78.726677,0,16,87
1539287241,10.766962,78.727425,0,26,92
1539287249,10.766788,78.727844,0,28,115
1539287255,10.766695,78.728149,0,27,98
1539287268,10.766823,78.728653,0,21,30
1539287276,10.767044,78.728592,0,20,323
1539287315,10.766951,78.72718,0,47,264
1539287321,10.766808,78.725281,0,76,264
1539287334,10.766322,78.719162,0,125,264
1539287340,10.766043,78.715706,0,135,267
1539287351,10.765333,78.706985,0,150,264
1539287363,10.764404,78.697906,625,161,263
1539287369,10.763855,78.693138,750,165,263
1539287376,10.763351,78.688629,925,167,263
1539287388,10.762319,78.679024,1275,169,264
1539287394,10.761853,78.674255,1500,170,263
1539287404,10.760643,78.664375,1775,179,264
1539287410,10.760224,78.659119,1875,190,265
1539287417,10.759805,78.653244,2000,200,267
1539287438,10.765251,78.635803,2350,227,307
1539287445,10.772513,78.629196,2775,230,325
1539287451,10.778333,78.626259,3050,235,337
1539287457,10.784757,78.624428,3250,242,348
1539287463,10.791321,78.623512,3475,246,353
1539287469,10.798909,78.622787,3775,250,354
1539287476,10.806107,78.622139,4050,251,354
1539287485,10.816315,78.621147,4550,250,354
1539287497,10.830379,78.619751,5225,248,354
1539287510,10.84453,78.618408,5925,245,356
1539287530,10.868637,78.621384,7075,242,8
1539287538,10.87532,78.622429,7400,241,8
1539287549,10.889008,78.624512,8075,239,8
1539287562,10.902557,78.62664,8725,237,8
1539287573,10.915801,78.628716,9375,236,8
1539287585,10.929395,78.630882,9950,239,9
1539287597,10.942616,78.633003,10475,241,9
1539287610,10.956348,78.635124,10750,253,8
1539287622,10.971359,78.637108,11175,260,4
1539287629,10.97888,78.636864,11425,262,354
1539287635,10.98587,78.635307,11625,265,344
1539287641,10.99292,78.632706,11800,269,338
1539287651,11.003879,78.628189,12150,271,337
1539287658,11.014435,78.623894,12550,271,338
1539287693,11.054398,78.608078,13800,276,338
1539287722,11.090978,78.593346,14025,281,337
1539287756,11.133408,78.576157,14500,306,338
1539287789,11.179596,78.557503,14925,342,338
1539287820,11.227609,78.537933,15450,369,338
1539287850,11.276871,78.517822,16475,376,338
1539287884,11.331711,78.495232,17600,381,337
1539287915,11.38266,78.474251,18525,388,338
1539287975,11.485229,78.432121,20375,390,337
1539288039,11.583939,78.391426,20900,338,337
1539288102,11.671509,78.355583,21050,352,338
1539288160,11.770935,78.315186,21625,401,338
1539288223,11.878455,78.271706,23175,415,338
1539288283,11.988968,78.226967,24700,426,338
1539288344,12.102631,78.181076,25975,440,338
1539288405,12.21959,78.134094,27075,454,338
1539288467,12.340393,78.085327,28250,461,338
1539288527,12.463303,78.03537,29225,471,338
1539288590,12.594086,77.982185,30350,475,338
1539288652,12.716349,77.932533,31800,468,338
1539288715,12.844208,77.879951,32875,469,337
1539288777,12.972154,77.826958,33800,473,337
1539288838,13.095108,77.776054,34700,475,338
1539288900,13.224701,77.722588,34850,473,337
1539288964,13.353333,77.66922,35000,469,337
1539289028,13.480876,77.615326,35000,469,337
1539289089,13.601852,77.563622,35000,469,335
1539289151,13.726089,77.50296,35225,468,334
1539289212,13.844376,77.446838,36025,468,335
1539289275,13.970398,77.387314,36000,470,335
1539289339,14.095734,77.327789,36000,471,335
1539289401,14.221663,77.267715,36000,472,335
1539289465,14.347353,77.207916,36000,472,335
1539289525,14.467072,77.15078,36000,473,335
1539289579,14.573502,77.095184,36000,475,322
1539289585,14.582932,77.086945,36000,475,318
1539289593,14.596641,77.072273,36000,475,310
1539289600,14.604787,77.061523,36000,474,306
1539289609,14.615753,77.043518,36000,474,299
1539289615,14.621639,77.031891,36000,474,297
1539289621,14.627884,77.019417,36000,474,297
1539289627,14.633972,77.007385,36000,475,297
1539289691,14.698654,76.880623,36000,475,297
1539289750,14.759713,76.759209,36000,476,297
1539289814,14.823853,76.63073,36000,477,297
1539289878,14.887802,76.502525,36000,477,297
1539289940,14.951843,76.374306,36000,476,297
1539290001,15.012864,76.252083,36000,473,297
1539290064,15.075756,76.125786,36000,473,297
1539290125,15.1366,76.003464,36000,472,297
1539290188,15.20256,75.877174,36000,473,298
1539290251,15.26918,75.750931,36000,473,298
1539290311,15.332072,75.630424,36000,473,298
1539290376,15.39799,75.503784,36000,469,298
1539290436,15.459812,75.385338,36000,468,298
1539290500,15.525218,75.260025,36000,465,298
1539290562,15.589646,75.13623,36000,464,298
1539290623,15.651123,75.017685,36000,463,298
1539290686,15.714871,74.89444,36000,462,298
1539290750,15.779388,74.769623,36000,462,298
1539290813,15.843169,74.646461,36000,462,298
1539290873,15.902115,74.527588,36000,462,296
1539290936,15.962483,74.401573,36000,462,296
1539290997,16.020813,74.281555,36000,461,296
1539291060,16.081936,74.155998,36000,462,296
1539291123,16.141983,74.030891,36000,461,296
1539291184,16.199667,73.910866,36000,460,296
1539291247,16.259998,73.785797,36000,461,296
1539291307,16.317535,73.666512,36000,460,296
1539291370,16.378143,73.540405,36000,461,296
1539291434,16.440762,73.414864,36000,460,297
1539291497,16.502792,73.290039,36000,459,297
1539291560,16.563612,73.16684,36000,458,297
1539291626,16.62648,73.037735,36000,455,296
1539291684,16.680271,72.923569,36000,452,296
1539291734,16.726776,72.825867,36000,450,296
1539291827,16.812012,72.645935,36000,452,296
1539291889,16.869003,72.525719,36000,454,296
1539291954,16.930664,72.395081,36000,454,296
1539292016,16.986694,72.27597,36000,456,296
1539292074,17.041611,72.159134,36000,457,296
1539292145,17.108692,72.016853,36000,459,296
1539292207,17.168139,71.894043,36000,458,296
1539292274,17.230545,71.764481,36000,454,296
1539292332,17.285843,71.64888,36000,454,296
1539292399,17.348877,71.51709,36000,452,296
1539292465,17.410355,71.38839,36000,449,296
1539292526,17.466494,71.270668,36000,448,296
1539292586,17.522308,71.153442,36000,447,296
1539292647,17.578312,71.035393,36000,447,296
1539292699,17.625687,70.935539,36000,448,296
1539292789,17.708704,70.760239,36000,450,296
1539292851,17.766056,70.638557,36000,452,296
1539292892,17.80423,70.557533,36000,452,296
1539293043,17.945023,70.257668,36000,454,296
1539293103,18.000137,70.139854,36000,453,296
1539293166,18.057266,70.017601,36000,451,295
1539293184,18.074371,69.980949,36000,451,295
1539293286,18.167894,69.779961,36000,448,295
1539298981,21.226191,65.947472,35000,470,106
1539299013,21.205811,66.019043,35000,469,106
1539299052,21.181824,66.103188,35000,467,106
1539299143,21.123684,66.305946,35000,463,107
1539299203,21.086563,66.434677,35000,460,107
1539299269,21.044916,66.57888,35000,461,107
1539299308,21.019918,66.665436,35000,463,107
1539300296,20.386322,68.796585,35000,450,107
1539300344,20.354553,68.900459,35000,450,107
1539300531,20.233232,69.295868,35000,455,108
1539300728,20.102839,69.716042,35000,455,109
1539300749,20.088501,69.759506,35000,454,109
1539300837,20.027573,69.942398,35000,451,109
1539300883,19.995483,70.039116,35000,449,109
1539300976,19.930893,70.233978,35000,446,109
1539301039,19.88736,70.364197,34525,444,109
1539301103,19.845079,70.490181,33525,442,109
1539301163,19.804113,70.611877,32500,439,109
1539301226,19.760447,70.742462,31125,431,109
1539301286,19.72097,70.859421,29450,414,109
1539301346,19.682285,70.973381,27650,404,109
1539301417,19.638062,71.103668,25475,395,109
1539301477,19.601212,71.21299,23725,384,109
1539301538,19.56572,71.317451,22300,363,109
1539301602,19.529022,71.423538,20400,357,109
1539301662,19.495426,71.522644,18650,350,109
1539301723,19.462187,71.618874,17175,337,110
1539301734,19.45697,71.634048,16925,334,109
1539301793,19.427078,71.722328,15725,316,109
1539301901,19.374622,71.874657,13250,300,109
1539301911,19.369362,71.890038,13000,298,109
1539301973,19.341663,71.969788,12325,259,110
1539302003,19.329327,72.005646,11775,255,109
1539302018,19.323166,72.023621,11500,253,109
1539302029,19.319412,72.034508,11350,251,110
1539302044,19.313095,72.052559,11100,247,110
1539302059,19.307308,72.069016,10850,245,110
1539302074,19.301023,72.086891,10575,242,110
1539302089,19.295158,72.103874,10325,241,109
1539302099,19.29134,72.114906,10150,240,109
1539302114,19.285767,72.131523,9925,241,109
1539302129,19.279842,72.148567,9725,241,110
1539302145,19.274002,72.16507,9550,240,110
1539302161,19.26796,72.182236,9350,238,110
1539302171,19.2642,72.192963,9200,238,110
1539302186,19.258438,72.209801,9000,237,110
1539302202,19.252487,72.226768,8800,236,110
1539302217,19.246857,72.242661,8625,232,110
1539302231,19.241251,72.258278,8475,234,110
1539302245,19.235617,72.274055,8325,232,110
1539302262,19.229286,72.291588,8125,234,111
1539302278,19.223145,72.308037,7925,235,111
1539302292,19.217136,72.323997,7700,233,112
1539302303,19.212524,72.334526,7550,232,115
1539302317,19.205475,72.350121,7325,232,115
1539302333,19.198282,72.365997,7125,233,115
1539302343,19.193626,72.376335,7000,233,115
1539302358,19.18634,72.392151,6975,234,115
1539302374,19.179195,72.407692,7000,235,115
1539302383,19.1744,72.41803,7000,235,115
1539302398,19.167093,72.433762,6975,233,116
1539302419,19.15741,72.45459,6400,237,116
1539302425,19.154892,72.459984,6275,237,116
1539302464,19.135298,72.501427,5700,221,116
1539302479,19.128408,72.515808,5475,211,116
1539302495,19.121887,72.529137,5275,199,117
1539302506,19.117607,72.538177,5075,192,114
1539302520,19.11244,72.551163,4825,187,112
1539302526,19.110764,72.555557,4750,186,112
1539302536,19.107376,72.564056,4575,183,112
1539302546,19.104126,72.57225,4425,181,112
1539302557,19.100784,72.580688,4300,178,112
1539302572,19.095932,72.59285,4125,177,112
1539302582,19.09259,72.601089,4025,176,113
1539302592,19.089294,72.608986,3925,176,113
1539302602,19.086884,72.61628,3825,174,103
1539302613,19.08577,72.625854,3725,172,93
1539302622,19.08544,72.634163,3650,173,92
1539302633,19.08522,72.642929,3575,167,90
1539302653,19.085766,72.659126,3475,165,87
1539302667,19.086044,72.670929,3300,165,88
1539302679,19.08609,72.67971,3125,167,90
1539302699,19.086365,72.696045,2800,160,88
1539302708,19.086411,72.703445,2700,157,90
1539302720,19.086464,72.711464,2575,155,89
1539302728,19.08651,72.717903,2450,156,89
1539302740,19.086594,72.727234,2250,157,88
1539302749,19.086731,72.734886,2150,157,88
1539302761,19.086884,72.742775,2000,158,88
1539302770,19.087051,72.750633,1850,158,88
1539302780,19.08721,72.758209,1725,158,88
1539302789,19.087326,72.765785,1575,158,89
1539302800,19.087555,72.774025,1475,156,88
1539302811,19.087692,72.781677,1350,157,89
1539302831,19.087692,72.797226,1075,154,89
1539302860,19.088058,72.818802,700,150,90
1539302871,19.088093,72.826874,550,150,88
1539302881,19.088234,72.834511,425,150,88
1539302896,19.088419,72.845345,225,150,89
1539302926,19.088686,72.864624,0,100,90
1539302941,19.088768,72.869003,0,28,81
1539302950,19.089043,72.870018,0,21,70
1539302961,19.089443,72.870865,0,16,61
1539302971,19.089809,72.871521,0,16,59
